rank,channel_id,channel_name,channel_url,subscribers,video_count,views_total,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,latest_video_views,generated_at_utc
40,UCUjUOgVT4yiY4YkhWkVZWJw,Nenyon TV,https://www.youtube.com/channel/UCUjUOgVT4yiY4YkhWkVZWJw,,,,,,2QNyHIsTkMY,NENYON TV NEWS,https://i3.ytimg.com/vi/2QNyHIsTkMY/hqdefault.jpg,2025-11-11T14:44:27.000Z,660,0,2025-11-12T02:20:46.879Z
41,UClJq8G6FjEeXyMH6UgimnLw,Hope TV Kenya,https://www.youtube.com/channel/UClJq8G6FjEeXyMH6UgimnLw,,,,,,CcCVWL4OACA,#RechargeDevotion,https://i4.ytimg.com/vi/CcCVWL4OACA/hqdefault.jpg,2025-11-12T01:58:39.000Z,870,3,2025-11-12T02:20:46.879Z
42,UCZBH2CcL2t7Puh89TshvZzQ,Mekenze Limiri,https://www.youtube.com/channel/UCZBH2CcL2t7Puh89TshvZzQ,,,,,,vAVtBLSoIlw,From Our Kenyan Village to the USA! 🇰🇪🇺🇸 | Macadamia Nuts Made It!,https://i3.ytimg.com/vi/vAVtBLSoIlw/hqdefault.jpg,2025-11-08T15:05:55.000Z,986,8950,2025-11-12T02:20:46.879Z
43,UChQXn6sL9ENIpA74qqPG1HA,3MenArmy Kenya,https://www.youtube.com/channel/UChQXn6sL9ENIpA74qqPG1HA,,,,,,0xEylIzbUbc,The97sPodcast Episode 15  - DReaM WoRLd,https://i1.ytimg.com/vi/0xEylIzbUbc/hqdefault.jpg,2025-10-27T16:45:06.000Z,3854,159187,2025-11-12T02:20:46.879Z
44,UCjSpvbZM2B9dzDDq2caHTeQ,Corporate Staffing Services Kenya,https://www.youtube.com/channel/UCjSpvbZM2B9dzDDq2caHTeQ,,,,,,Y2v9Kea3gRk,Why the Recruiter Didn’t Call You Back After the Interview,https://i2.ytimg.com/vi/Y2v9Kea3gRk/hqdefault.jpg,2025-10-29T05:00:42.000Z,669,181,2025-11-12T02:20:46.879Z
45,UCfy9aswLTfmuqcNylgMbUrA,Constable Kenya TV,https://www.youtube.com/channel/UCfy9aswLTfmuqcNylgMbUrA,,,,,,8lzoQ72psWg,GENZ  TANZANIA WAASOMA LIVE BARUA YA MAANDAMANO,https://i1.ytimg.com/vi/8lzoQ72psWg/hqdefault.jpg,2025-11-11T09:30:23.000Z,2016,3761,2025-11-12T02:20:46.879Z
46,UCOQK1I_m8oi2EnIy12ayYuQ,GATE C KENYA,https://www.youtube.com/channel/UCOQK1I_m8oi2EnIy12ayYuQ,,,,,,qsUGIf-jSJ0,"HE STARTED WORKING AT 14, THEN HIS BEST FRIEND STOLE EVERYTHING 💔 | True Life Story",https://i2.ytimg.com/vi/qsUGIf-jSJ0/hqdefault.jpg,2025-10-20T16:30:31.000Z,1557,147,2025-11-12T02:20:46.879Z
47,UCla23ibLfCcY7t-iSTHBSHA,Brave Kenya TV,https://www.youtube.com/channel/UCla23ibLfCcY7t-iSTHBSHA,,,,,,Qox9SxZLgkQ,🔥🔥FIREWORKS: MAANZO DESTROYS OJIENDA WITH FACTS – WHY RUTO’S WANTAM IS UNAVOIDABLE!!,https://i2.ytimg.com/vi/Qox9SxZLgkQ/hqdefault.jpg,2025-11-06T09:23:57.000Z,1313,17702,2025-11-12T02:20:46.879Z
48,UCCjULCQvh2cQQLzYe4DC2Nw,The Joy Ride,https://www.youtube.com/channel/UCCjULCQvh2cQQLzYe4DC2Nw,,,,,,vm58TWtNS4w,SSN 8 Ep 10: Main Character Energy vs Background Peace || FT Wamzz,https://i3.ytimg.com/vi/vm58TWtNS4w/hqdefault.jpg,2025-11-06T08:00:06.000Z,4232,21173,2025-11-12T02:20:46.879Z
49,UCbNSvsHFoQ4QnRj4K60eBhQ,Kenya Revenue Authority,https://www.youtube.com/channel/UCbNSvsHFoQ4QnRj4K60eBhQ,,,,,,szOUT1LdeK0,KRA ANNUAL SUMMIT 2025,https://i4.ytimg.com/vi/szOUT1LdeK0/hqdefault.jpg,2025-10-15T13:51:45.000Z,30935,525,2025-11-12T02:20:46.879Z
50,UCEJxeFWQ7Jm1ERznzqjkaMw,REALTY BORIS,https://www.youtube.com/channel/UCEJxeFWQ7Jm1ERznzqjkaMw,,,,,,rk4v64rsVM8,This Smart House will Blow Your Mind! 3 bedroom 38M Family Home #luxuryhomestour #luxury.,https://i3.ytimg.com/vi/rk4v64rsVM8/hqdefault.jpg,2025-11-08T10:06:58.000Z,2135,4200,2025-11-12T02:20:46.879Z
51,UCaezQJtBqkyuNFN8bGmBeMQ,Family Media,https://www.youtube.com/channel/UCaezQJtBqkyuNFN8bGmBeMQ,,,,,,8heHZlllL-k,"This is My story | Raising a Special Needs Child | A story of Pain, Rejection &amp; Hope-Miriam-11/11/25",https://i1.ytimg.com/vi/8heHZlllL-k/hqdefault.jpg,2025-11-11T17:29:06.000Z,2153,61,2025-11-12T02:20:46.879Z
52,UCgrAIOyT2rROw4NRIx3b-Wg,The Kenyan Wall Street,https://www.youtube.com/channel/UCgrAIOyT2rROw4NRIx3b-Wg,,,,,,6s015Z8uh9c,Inside Tatu City: Why Global Firms are Flocking to Africa's $4 Billion SEZ Hub || Solomon Mahinda,https://i3.ytimg.com/vi/6s015Z8uh9c/hqdefault.jpg,2025-11-10T12:00:06.000Z,1869,1133,2025-11-12T02:20:46.879Z
53,UCEYqAce8R78wNRAkb8wIuVQ,The Sandwich Podcast KE,https://www.youtube.com/channel/UCEYqAce8R78wNRAkb8wIuVQ,,,,,,keAbE0v7cwY,"FIRST DATE NIGHT || Tanzania, Giraffe Centre Dates, Songs Made in the Early 19's Were Nasty",https://i4.ytimg.com/vi/keAbE0v7cwY/hqdefault.jpg,2025-11-05T08:30:06.000Z,4764,16398,2025-11-12T02:20:46.879Z
54,UCtkujHXv8lY-sBCBDzzWxmA,KENYAN PRINCE SHOW,https://www.youtube.com/channel/UCtkujHXv8lY-sBCBDzzWxmA,,,,,,e6Hq4If7F50,SUPRISED MY GIRLFRIEND WITH A BRAND NEW BMW,https://i2.ytimg.com/vi/e6Hq4If7F50/hqdefault.jpg,2025-11-08T18:32:56.000Z,1646,38717,2025-11-12T02:20:46.879Z
55,UC3XdxNuniBPgW87aEC9LSPw,Kenya's Decor Corner,https://www.youtube.com/channel/UC3XdxNuniBPgW87aEC9LSPw,,,,,,-x9TyQ3bk5s,Festive &amp; Welcoming Christmas Entryway | Decorate With Me,https://i2.ytimg.com/vi/-x9TyQ3bk5s/hqdefault.jpg,2025-11-09T23:00:06.000Z,713,1744,2025-11-12T02:20:46.879Z
56,UCR0SvwY_QW7XrsaCZ_youXg,ZOZA PODCAST,https://www.youtube.com/channel/UCR0SvwY_QW7XrsaCZ_youXg,,,,,,Z8uwKo-Y8GI,CHAXY: From Zero to MIC CHEQUE – The Untold Story Behind Kenya’s Biggest Podcast | Zoza Podcast,https://i3.ytimg.com/vi/Z8uwKo-Y8GI/hqdefault.jpg,2025-11-11T06:30:06.000Z,6384,11954,2025-11-12T02:20:46.879Z
57,UCquxoW1DZM_FkQbuWhFLcNw,Chizzi Podcast,https://www.youtube.com/channel/UCquxoW1DZM_FkQbuWhFLcNw,,,,,,hJTurGzxSi8,TANZANIA'S DATE WITH DESTINY; DECEMBER 9!!!!,https://i1.ytimg.com/vi/hJTurGzxSi8/hqdefault.jpg,2025-11-10T18:57:37.000Z,1722,1596,2025-11-12T02:20:46.879Z
58,UCTD3eadKU7kD12kLRBIjrzA,Lavina asrani,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
59,UCE3_pDzv9CCzM_K9QyUf3lA,Chennai to Lagos,https://www.youtube.com/channel/UCE3_pDzv9CCzM_K9QyUf3lA,,,,,,NZI8ZHxHO5I,Indian &amp; Nigerian Grandmothers Meet Grandchild For The First Time,https://i3.ytimg.com/vi/NZI8ZHxHO5I/hqdefault.jpg,2025-10-27T15:30:51.000Z,864,117693,2025-11-12T02:20:46.879Z
60,UCiUZwzf3gH7q-BOMgdezmug,Political Headache,https://www.youtube.com/channel/UCiUZwzf3gH7q-BOMgdezmug,,,,,,IiparNgfiGg,Odoyo Owidi’s SHOCK DEFENCE Of The Computer Cybercrime’s Bill - Face The Nation,https://i2.ytimg.com/vi/IiparNgfiGg/hqdefault.jpg,2025-11-11T09:00:06.000Z,780,260,2025-11-12T02:20:46.879Z
61,UCkZKGnWZWb-S9wJdz9IGDTw,Sajid Vayani,https://www.youtube.com/channel/UCkZKGnWZWb-S9wJdz9IGDTw,,,,,,fqGGTSuB0Cs,"Digital Lending, Brioni Suits &amp; Kegel Exercises - Kevin Mutiso | Coffee Pump (E065)",https://i3.ytimg.com/vi/fqGGTSuB0Cs/hqdefault.jpg,2025-11-10T16:30:06.000Z,6005,3715,2025-11-12T02:20:46.879Z
62,UCYWWUTwlrj_bB-iDpD_CEIQ,Radio Generation - Kenya,https://www.youtube.com/channel/UCYWWUTwlrj_bB-iDpD_CEIQ,,,,,,KIZQOX7ggb4,Why KJSEA Is Another Transition Crisis In Waiting ~FM Boaz,https://i4.ytimg.com/vi/KIZQOX7ggb4/hqdefault.jpg,2025-11-11T19:12:34.000Z,6350,31,2025-11-12T02:20:46.879Z
63,UCM0AhEzSsjf61sJntWDxcEg,The Dating Stories,https://www.youtube.com/channel/UCM0AhEzSsjf61sJntWDxcEg,,,,,,1jK6b2J7XU8,The Day God Told Me to Walk Away from the Man I Loved - The Dating Stories,https://i2.ytimg.com/vi/1jK6b2J7XU8/hqdefault.jpg,2025-10-19T17:00:06.000Z,3810,12990,2025-11-12T02:20:46.879Z
64,UCSp_w_aNlrg8q0oyKx5YEZQ,DMTV KENYA 🇰🇪,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
65,UC3igbOfjItm-Ea21KzLKtig,One Accord TV Kenya,https://www.youtube.com/channel/UC3igbOfjItm-Ea21KzLKtig,,,,,,2LG5oVpeDps,The House of Bread LCCI || First Service || 9th November 2025,https://i3.ytimg.com/vi/2LG5oVpeDps/hqdefault.jpg,2025-11-09T20:13:58.000Z,10702,115,2025-11-12T02:20:46.879Z
66,UCwvwwgcbtlmXwzCWsFTVSog,Raw Politics Kenya,https://www.youtube.com/channel/UCwvwwgcbtlmXwzCWsFTVSog,,,,,,uYiNL1-sEO4,Ruto's Secret Weapon: THIS Is How May Win!,https://i2.ytimg.com/vi/uYiNL1-sEO4/hqdefault.jpg,2025-11-11T12:34:02.000Z,1109,2711,2025-11-12T02:20:46.879Z
67,UCgSP5G3RmKJl72aA2lBV_Jw,KwamBox Podcast,https://www.youtube.com/channel/UCgSP5G3RmKJl72aA2lBV_Jw,,,,,,bhBgofbLXLo,"Cruel Words, Tanzania and Other Tales with  Kwambox and Eriq Stories",https://i3.ytimg.com/vi/bhBgofbLXLo/hqdefault.jpg,2025-10-30T16:00:16.000Z,5812,9963,2025-11-12T02:20:46.879Z
68,UCTmotqSpm-DWgI7YIax9-8w,"The River of God Church, Parklands",https://www.youtube.com/channel/UCTmotqSpm-DWgI7YIax9-8w,,,,,,F3XsjbYEbhY,Holiness - Pst. Grace Muiga,https://i3.ytimg.com/vi/F3XsjbYEbhY/hqdefault.jpg,2025-11-09T10:16:54.000Z,7738,290,2025-11-12T02:20:46.879Z
69,UCFBoqaPTCtGJi8kr7pV33Tg,Innit Podcast,https://www.youtube.com/channel/UCFBoqaPTCtGJi8kr7pV33Tg,,,,,,Fdn7A2MR5Ds,119. ARE YOU DOWN TO DRINK OR ARE YOU AN ALCOHOLIC?,https://i3.ytimg.com/vi/Fdn7A2MR5Ds/hqdefault.jpg,2025-10-24T08:15:03.000Z,2753,2098,2025-11-12T02:20:46.879Z
70,UCaUB5LpDS3Rn7o7NGcqGy_Q,The Kisiangani Podcast,https://www.youtube.com/channel/UCaUB5LpDS3Rn7o7NGcqGy_Q,,,,,,b9rvqcSM5f4,Teesho Lazima Iwork [Blissful Banter Episode 213],https://i3.ytimg.com/vi/b9rvqcSM5f4/hqdefault.jpg,2025-11-11T07:40:21.000Z,5933,2711,2025-11-12T02:20:46.879Z
71,UC-qHhfimVh-9ZFpLLNDBJOg,Mr Sikulu,https://www.youtube.com/channel/UC-qHhfimVh-9ZFpLLNDBJOg,,,,,,i7lJXA1GEUw,Mr Sikulu Latenight Stream,https://i2.ytimg.com/vi/i7lJXA1GEUw/hqdefault.jpg,2025-11-09T07:09:21.000Z,2288,244,2025-11-12T02:20:46.879Z
72,UCUIuGaGqU-RnmWydZlJuZtg,MASSA TV OFFICIAL KENYA,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
73,UCTMmDnmja-LpTI6dhAQR2jQ,Presenter David,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
74,UCyf44NvoOXWGFIbjBiFDehA,YAHORM MEDIA ENT (Naricks Produzar),https://www.youtube.com/channel/UCyf44NvoOXWGFIbjBiFDehA,,,,,,E174p5auAtk,Kilifi One From Coast on The Trend | NTV live.,https://i2.ytimg.com/vi/E174p5auAtk/hqdefault.jpg,2025-10-31T21:33:20.000Z,952,82,2025-11-12T02:20:46.879Z
75,UCmvfbWE8n63apNntC7doTdw,Prezzo logistic Mouldings limited,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
76,UC6AkSvREU3xfhyd2eVi_0vA,Stephanie Ng’ang’a,https://www.youtube.com/channel/UC6AkSvREU3xfhyd2eVi_0vA,,,,,,JdV6uIHhe6o,"Maureen Kunga talks Majaliwa, Elani Glory Days &amp; Lyrical Roulete You Won't forget 🙈🎉| THE SNS",https://i3.ytimg.com/vi/JdV6uIHhe6o/hqdefault.jpg,2025-11-05T11:06:38.000Z,5328,1401,2025-11-12T02:20:46.879Z
77,UCrxSe4ecTNMqjB23JafageA,The Kenyan American Home,https://www.youtube.com/channel/UCrxSe4ecTNMqjB23JafageA,,,,,,bERLHV61ebs,Tuesday Check in 33,https://i3.ytimg.com/vi/bERLHV61ebs/hqdefault.jpg,2025-10-07T20:18:18.000Z,12160,2640,2025-11-12T02:20:46.879Z
78,UCgN6uZh7lRwZZRgX1G_RbtA,Kenya show zone,https://www.youtube.com/channel/UCgN6uZh7lRwZZRgX1G_RbtA,,,,,,HttMEyftlI4,Zari episode 2,https://i1.ytimg.com/vi/HttMEyftlI4/hqdefault.jpg,2025-11-07T07:30:04.000Z,2304,450,2025-11-12T02:20:46.879Z
79,UCGGEWFyd9HJfZcGetEcyiqg,Kenya The Talking Parrot ,https://www.youtube.com/channel/UCGGEWFyd9HJfZcGetEcyiqg,,,,,,x6kSpSUJjr0,"Talking Parrots Poolside Parrot Party! ☀️ Kenya &amp; Cheenah Chat, Dance &amp; Soak Up the Sun!",https://i1.ytimg.com/vi/x6kSpSUJjr0/hqdefault.jpg,2025-11-08T09:35:02.000Z,3681,331,2025-11-12T02:20:46.879Z
80,UCRZc3IKbTep45T3C3ysZZ3Q,Larry Madowo,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
81,UCmBQsChFjOTcqv7D6sT8dPw,ManTalk Ke,https://www.youtube.com/channel/UCmBQsChFjOTcqv7D6sT8dPw,,,,,,ceeaDiSLn5g,TMI X MANTALK REUNION | FOLDER X,https://i4.ytimg.com/vi/ceeaDiSLn5g/hqdefault.jpg,2025-10-30T15:11:06.000Z,6480,70021,2025-11-12T02:20:46.879Z
82,UCUQJhw48IStqBL13dSSBoLQ,DELTA TV KENYA,https://www.youtube.com/channel/UCUQJhw48IStqBL13dSSBoLQ,,,,,,OHCL7LVoBNs,GARISSA WATER COMPANY( GAWASCO) DOCUMENTARY.,https://i4.ytimg.com/vi/OHCL7LVoBNs/hqdefault.jpg,2025-10-31T18:04:00.000Z,774,119,2025-11-12T02:20:46.879Z
83,UCq9K26KI96tZEQrSomHSjqg,Simy Kenya TV,https://www.youtube.com/channel/UCq9K26KI96tZEQrSomHSjqg,,,,,,XEl3z8HinEc,Abong'o Jakabwana - DIGI DIGI is my favorite song &amp; why I composed it like RIDDIM!! #ohangla,https://i1.ytimg.com/vi/XEl3z8HinEc/hqdefault.jpg,2025-10-10T16:21:24.000Z,2850,5299,2025-11-12T02:20:46.879Z
84,UCx1WDOZzmyIa1MlK1W3RdOg,"It's Related, I Promise",https://www.youtube.com/channel/UCx1WDOZzmyIa1MlK1W3RdOg,,,,,,2louNwHOASg,Should Women Aspire To Be Wives And Mothers First? || With Pinky Ghelani &amp; Gowi Odera,https://i3.ytimg.com/vi/2louNwHOASg/hqdefault.jpg,2025-11-07T12:09:55.000Z,6168,24931,2025-11-12T02:20:46.879Z
85,UCHR_V0A3_xY-rUAGB8Oc6oQ,The Talking Kitchen Show,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
86,UC6rDXNuPbWlPN1MPggYLFkg,Vivian Kenya Official,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
87,UCjNFc8360TekuY2zacw5Piw,NAMELESS KENYA,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
88,UCT7_iCG9NEvIYU9oColH32A,Empire Dance Kenya,https://www.youtube.com/channel/UCT7_iCG9NEvIYU9oColH32A,,,,,,h-A2GVifONc,DANCE WORKOUT  ( KENYAN MASH UP MIX ) LUNDIKA,https://i1.ytimg.com/vi/h-A2GVifONc/hqdefault.jpg,2025-09-04T13:36:25.000Z,3163,406,2025-11-12T02:20:46.879Z
89,UCYj0xUdcIp-pi0unrROeAGQ,NJATA TV KENYA,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
90,UC502eNk1mlq63bBG98K2Hjw,Jeff Koinange,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
91,UCKbawrV-7DdON4YXB4hA0bA,Skeji Wine Warr,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
92,UCiXDI2pT3QyOAOigi7UffHA,Cars With Big Boy Trev TV,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
93,UCsfK32q0jHFYiQGLfuGBi4A,Hornsphere,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
94,UCSk_nh-LpsSbUtzoMrm4VlQ,Kenya Premier League,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
95,UCZ8VR0jKlh4K0yRroobIOGw,PodcastPro Kenya,https://www.youtube.com/channel/UCZ8VR0jKlh4K0yRroobIOGw,,,,,,zdWf8xxEQ6Y,SOFT TISSUE 🤧 | 97s Podcast | EP 39 MINISODE,https://i3.ytimg.com/vi/zdWf8xxEQ6Y/hqdefault.jpg,2025-08-26T07:35:20.000Z,937,9089,2025-11-12T02:20:46.879Z
96,UCKott-RvUG716VJaydIYi6w,MINISTER MARK MUSIC,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
97,UC9YMok9mhqAITBqKgCG34AA,MAGNIFIED KENYA,,,,,,,,,,,,,2025-11-12T02:20:46.879Z
