rank,channel_id,channel_name,channel_url,subscribers,video_count,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,generated_at_utc
128,UCAIW3ZOzVBROadC3QFNwipQ,SelfReflections with Nekesa,https://www.youtube.com/channel/UCAIW3ZOzVBROadC3QFNwipQ,43,12,KE,other,J83tX-0bR14,SELF REFLECTIONS WITH NEKESA (012) - HOW TO DEVEOP SELF ACCEPTANCE PART 2,https://i.ytimg.com/vi/J83tX-0bR14/mqdefault.jpg,2022-03-03T20:37:33Z,780,2025-09-24T02:21:24Z
129,UC2UFz_WWMorIcHwTqWWVzMw,EVE MEDIA KENYA LIVE,https://www.youtube.com/channel/UC2UFz_WWMorIcHwTqWWVzMw,42,30,,podcast,kTTxTXZxTHg,EATING COMPETITION OF ME AND I AGAINST 10 MINUTES WORKING WITH 3KG PISHORI  RICE,https://i.ytimg.com/vi/kTTxTXZxTHg/mqdefault.jpg,2024-12-03T18:57:49Z,556,2025-09-24T02:21:24Z
130,UChKV1lwcEOON6Sdc7v0gqMg,Nairobi Teacher & Family Podcast,https://www.youtube.com/channel/UChKV1lwcEOON6Sdc7v0gqMg,37,2,,podcast,q8IxL-M7Zuo,Our First Family Video On YouTube | Deep Shocking Secrets Revealed 😳,https://i.ytimg.com/vi/q8IxL-M7Zuo/mqdefault.jpg,2025-01-18T22:36:08Z,1715,2025-09-24T02:21:24Z
131,UCP9BWhbjEAu1trOpmdtB7UQ,Kenya Sihami,https://www.youtube.com/channel/UCP9BWhbjEAu1trOpmdtB7UQ,34,29,,other,YBnOK4F2fqw,When Moses Kuria decided to dismantle Uhuru and Raila,https://i.ytimg.com/vi/YBnOK4F2fqw/mqdefault.jpg,2021-04-17T10:49:20Z,477,2025-09-24T02:21:24Z
132,UCQFja3n1zr4YqVVDUOTw8pQ,Let’s Talk About It! With Kenya,https://www.youtube.com/channel/UCQFja3n1zr4YqVVDUOTw8pQ,31,2,,other,0__nnikq7Mc,Episode 1,https://i.ytimg.com/vi/0__nnikq7Mc/mqdefault.jpg,2019-12-05T04:29:39Z,900,2025-09-24T02:21:24Z
133,UCYi4QdrP-vPkbJ2rN0Pb35g,Kenyan Love Talks & Advice podcast,https://www.youtube.com/channel/UCYi4QdrP-vPkbJ2rN0Pb35g,30,9,KE,podcast,wBXGYnuk7VQ,klta podcast episode 5: Meet Kamba Benga musician #mwiyendei Boyz Band,https://i.ytimg.com/vi/wBXGYnuk7VQ/mqdefault.jpg,2025-07-09T14:32:09Z,558,2025-09-24T02:21:24Z
134,UC5kpJ6vglFJVF_eF7yBEeQg,The 2M Podcast,https://www.youtube.com/channel/UC5kpJ6vglFJVF_eF7yBEeQg,26,9,,podcast,2EtFveA9pMM,Media Madness and the Kenyan Culture of Blame Game,https://i.ytimg.com/vi/2EtFveA9pMM/mqdefault.jpg,2021-05-21T11:51:32Z,2603,2025-09-24T02:21:24Z
135,UCd-ySVrUYn4q3P2BduCoQ_Q,BEING KENYAN PODCAST,https://www.youtube.com/channel/UCd-ySVrUYn4q3P2BduCoQ_Q,24,5,,podcast,1goSodCZzy4,live scenes right now from Nairobi Kenya @NTV Kenya,https://i.ytimg.com/vi/1goSodCZzy4/mqdefault.jpg,2023-03-20T12:56:04Z,4102,2025-09-24T02:21:24Z
136,UCR3T4osWyJ6Jhkz6w5EeEKg,Kenya Trends Podcast,https://www.youtube.com/channel/UCR3T4osWyJ6Jhkz6w5EeEKg,22,35,KE,podcast,x9bfrQw4J70,Sajaka Humiliated at City Hall as a Thief left  Naked,https://i.ytimg.com/vi/x9bfrQw4J70/mqdefault.jpg,2025-09-09T05:05:26Z,541,2025-09-24T02:21:24Z
137,UC-KhQkCyDkfnXWvk2ftLS8w,Nairobi Podcast Studio.,https://www.youtube.com/channel/UC-KhQkCyDkfnXWvk2ftLS8w,22,3,KE,podcast,nwnz8nNPSgc,"Youth Politics on SHOTS NA SHARKY podcast, EPISODE 2",https://i.ytimg.com/vi/nwnz8nNPSgc/mqdefault.jpg,2025-04-01T11:56:16Z,3597,2025-09-24T02:21:24Z
138,UCFXphqedTzlEtbdTBJcz_Pg,Amped Studios,https://www.youtube.com/channel/UCFXphqedTzlEtbdTBJcz_Pg,20,12,,podcast,ShPpQbMiTK4,Episode 12: Rada?,https://i.ytimg.com/vi/ShPpQbMiTK4/mqdefault.jpg,2020-06-27T03:21:57Z,5740,2025-09-24T02:21:24Z
139,UClinkYUoC3Jh5F5Ya1LfpOQ,NTV Kenya,https://www.youtube.com/channel/UClinkYUoC3Jh5F5Ya1LfpOQ,20,9,KE,other,8HnfTyyQxb0,"Niliona Moi hapa, nitingishe kidole?' || Lonyangapuo talks on pending County bills",https://i.ytimg.com/vi/8HnfTyyQxb0/mqdefault.jpg,2019-12-13T13:47:25Z,456,2025-09-24T02:21:24Z
140,UC_Xg1bgPH1hPHTvnhwOe2pg,Kenya News Podcast,https://www.youtube.com/channel/UC_Xg1bgPH1hPHTvnhwOe2pg,17,35,KE,podcast,0K-Vc-__FXs,Why Kenyan Marriages Are Failing — And Yours Might Be Next!,https://i.ytimg.com/vi/0K-Vc-__FXs/mqdefault.jpg,2025-07-18T09:28:12Z,567,2025-09-24T02:21:24Z
141,UCwGBF4-qaUOlix0-7gJgXZA,Woman Kenya Network,https://www.youtube.com/channel/UCwGBF4-qaUOlix0-7gJgXZA,17,9,,podcast,PBu6mx0jsac,The inspiring story of Sarah Kabu: From poverty to success,https://i.ytimg.com/vi/PBu6mx0jsac/mqdefault.jpg,2025-02-25T12:33:29Z,3209,2025-09-24T02:21:24Z
142,UCgpIl6p9PVuQaR9rtw2EC-g,The Statement,https://www.youtube.com/channel/UCgpIl6p9PVuQaR9rtw2EC-g,13,9,KE,podcast,hIG2WgHTV3E,"EP 09: Sharon Obara speaks of her accomplishments, exit plan as Miss World Kenya 2021 #TheStatement",https://i.ytimg.com/vi/hIG2WgHTV3E/mqdefault.jpg,2022-10-26T00:55:43Z,1245,2025-09-24T02:21:24Z
143,UCZWQI17dYmuauYVffoxWi4g,Nerd Kenya Podcast,https://www.youtube.com/channel/UCZWQI17dYmuauYVffoxWi4g,12,5,,podcast,9fTUumXk_I8,Werewolves in Africa?,https://i.ytimg.com/vi/9fTUumXk_I8/mqdefault.jpg,2024-09-20T06:07:24Z,418,2025-09-24T02:21:24Z
144,UCH0hJv_o-vnrkylmlGINg4w,THEE TALK SHOW ,https://www.youtube.com/channel/UCH0hJv_o-vnrkylmlGINg4w,11,8,,podcast,k0MPSEwh__w,DOHO,https://i.ytimg.com/vi/k0MPSEwh__w/mqdefault.jpg,2025-05-26T13:31:38Z,325,2025-09-24T02:21:24Z
145,UCxSpR5ZNKP6vo9fWPVFo66A,Nairobi Youth Congress official,https://www.youtube.com/channel/UCxSpR5ZNKP6vo9fWPVFo66A,11,1,,other,RlitfCTjHr4,SINCERELY NAIROBI PODCAST EPISODE 1,https://i.ytimg.com/vi/RlitfCTjHr4/mqdefault.jpg,2024-08-29T05:30:07Z,2089,2025-09-24T02:21:24Z
146,UCWyvW8Hzp6j4acsUtVx4o0g,ON THE TABLE PODCAST KENYA,https://www.youtube.com/channel/UCWyvW8Hzp6j4acsUtVx4o0g,10,3,KE,podcast,vmdht4c33oo,HOW TO OVERCOME DEPRESSION  |  EPISODE 2 PART B  |  ON THE TABLE PODCAST KENYA  |,https://i.ytimg.com/vi/vmdht4c33oo/mqdefault.jpg,2022-01-28T09:17:17Z,1086,2025-09-24T02:21:24Z
147,UCT70TSZZ7LlK13jdg4duygg,Tissletti Podcast,https://www.youtube.com/channel/UCT70TSZZ7LlK13jdg4duygg,9,15,KE,podcast,J6FScj1jhcs,Hon. Nicholas Wanjala on KBC,https://i.ytimg.com/vi/J6FScj1jhcs/mqdefault.jpg,2025-08-17T09:33:05Z,2231,2025-09-24T02:21:24Z
148,UCCiNVrIvphH-VnvPgUMLymw,STV KENYA ,https://www.youtube.com/channel/UCCiNVrIvphH-VnvPgUMLymw,8,16,,other,mt0kuA_0nvY,JICHO PEVU LA MAANDAMANO KENYA,https://i.ytimg.com/vi/mt0kuA_0nvY/mqdefault.jpg,2025-07-01T12:40:24Z,1297,2025-09-24T02:21:24Z
149,UC3mkNwWVizvUbrv2Kixi5cA,No Z's Podcast,https://www.youtube.com/channel/UC3mkNwWVizvUbrv2Kixi5cA,7,8,,podcast,kwdqCgxkI_Q,#7   Mind your Business (with Finance Lens),https://i.ytimg.com/vi/kwdqCgxkI_Q/mqdefault.jpg,2022-02-23T22:43:54Z,2704,2025-09-24T02:21:24Z
150,UCO8eWiF-795K_Mlj1qvr8zQ,The Tajiri Podcast Kenya,https://www.youtube.com/channel/UCO8eWiF-795K_Mlj1qvr8zQ,7,6,,podcast,2zHEBzSeFto,Boy Child Empowerment,https://i.ytimg.com/vi/2zHEBzSeFto/mqdefault.jpg,2024-05-01T18:00:23Z,1126,2025-09-24T02:21:24Z
151,UCUS_VhmqAG84NiO5WC8g5Hw,Kenya Marketplace Daily Podcast,https://www.youtube.com/channel/UCUS_VhmqAG84NiO5WC8g5Hw,6,12,,podcast,PpyoYu8EL3k,"Sh14 Billion Loss, NBK's land scam Court Drama, and Budget Chaos – Kenya’s Fiscal Earthquake",https://i.ytimg.com/vi/PpyoYu8EL3k/mqdefault.jpg,2025-06-25T17:14:42Z,1117,2025-09-24T02:21:24Z
152,UCjR9VsKRvlDvSKdkr5WGQMg,TechTV Kenya,https://www.youtube.com/channel/UCjR9VsKRvlDvSKdkr5WGQMg,5,4,KE,other,gxrmSBYvudw,Motor Tech. TechTv Kenya,https://i.ytimg.com/vi/gxrmSBYvudw/mqdefault.jpg,2019-03-21T08:31:57Z,390,2025-09-24T02:21:24Z
153,UCOUo-qGi0ccd8IDjPFg5OXA,KENYAN POLITICS CORNER,https://www.youtube.com/channel/UCOUo-qGi0ccd8IDjPFg5OXA,4,6,,other,pmqG0NcrxZs,healthy habits,https://i.ytimg.com/vi/pmqG0NcrxZs/mqdefault.jpg,2024-02-05T13:48:52Z,26862,2025-09-24T02:21:24Z
154,UCKHjbUHMA_lL6X0y0RALUZw,KENYA GOSSIP PODCAST,https://www.youtube.com/channel/UCKHjbUHMA_lL6X0y0RALUZw,4,2,,podcast,bcFslcb2uSw,Keane-somewhere only we know(nurturing my talent),https://i.ytimg.com/vi/bcFslcb2uSw/mqdefault.jpg,2025-05-18T14:36:32Z,326,2025-09-24T02:21:24Z
155,UCFZ6hHWKXv_PSA6F2EA0QcQ,The Nairobi Podcast,https://www.youtube.com/channel/UCFZ6hHWKXv_PSA6F2EA0QcQ,3,1,,podcast,2ZBWkl7a9R8,The Nairobi Podcast | Episode One - Strangers Should Check in on Strangers,https://i.ytimg.com/vi/2ZBWkl7a9R8/mqdefault.jpg,2022-05-13T21:21:28Z,1039,2025-09-24T02:21:24Z
